name,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
AK,1907,2016,1845,1940,1956,1784,1946,1913,2128,1863
AL,3261,3434,3793,4111,3970,4561,4689,5209,5558,6046
AR,2717,2712,2467,2463,2560,2936,3812,4214,3424,2762
AZ,10007,9865,8947,9707,9896,10495,10562,11302,10504,13711
CA,151278,129972,131532,118142,115738,113952,118552,120098,125128,123480
CO,9619,10857,10940,10550,9953,10028,9754,16768,15116,15482
CT,3033,3976,3388,3902,4047,4450,4448,4209,4456,4316
DC,6521,6904,7473,8350,7298,7748,6865,6954,6546,6539
DE,921,1082,994,1070,953,901,946,1008,1035,982
FL,28328,31030,32190,33559,35900,41542,47862,55170,56687,57551
GA,10443,9499,10174,12909,13790,16521,16971,20516,20975,19836
GU,875,854,852,1085,1280,1356,1271,1301,1745,1635
HI,6412,6530,7220,7921,7620,6918,6335,6246,6188,5834
IA,2315,2749,2756,3064,3081,3122,3084,2928,3134,3014
ID,2315,2012,2037,2247,1966,2104,1781,1968,2199,2346
IL,10199,10643,10798,11590,13177,13107,13425,14144,14009,14395
IN,5471,5258,5438,5798,5863,5971,6096,6259,6196,6452
KS,2381,2216,2287,2255,2588,2783,2693,2684,2511,2024
KY,4079,3688,4025,4237,4538,5089,5245,5230,6034,6623
LA,2941,3059,3305,3994,4081,4606,5226,7772,9291,12482
MA,18471,20068,17565,19608,21135,21237,19029,17501,16664,16646
MD,6561,7144,7247,7689,8390,7856,8205,9454,10208,10845
ME,2106,2516,2280,2241,2372,2726,3016,2393,2447,2379
MI,8575,8351,9051,9316,10516,12227,11527,12592,13185,13058
MN,7977,7243,7668,7341,7546,8377,8214,7744,7495,7869
MO,6179,5883,6037,6194,6482,7282,8581,10237,8989,8122
MP,1807,1044,672,0,0,0,0,0,0,0
MS,1184,1352,1472,1738,1983,2226,2403,2413,2306,2743
MT,1357,1405,1529,1418,1709,1745,1878,1833,1768,1615
NC,9314,9268,8962,9559,10685,11491,12168,13524,12896,12191
ND,557,542,1089,923,1305,1258,2069,688,603,799
NE,2365,2421,2501,2754,2744,3026,3145,3789,3548,3877
NH,1396,1450,1456,1366,1445,1376,1447,1496,1469,1574
NJ,8862,9398,8536,8895,10098,11671,12002,13025,14137,13737
NM,3241,2551,2482,2263,2629,2746,2819,3245,3601,3475
NV,7169,7544,7833,7398,8743,8582,7039,8497,9150,11205
NY,92091,91897,89503,86352,88250,80590,77430,69566,63445,65606
OH,10345,10249,10095,10404,11182,11823,12325,13977,13030,12569
OK,3944,3871,4199,4107,3777,4191,4408,5032,4625,5229
OR,15876,14476,13953,13238,13226,12164,13822,15828,17254,19492
PA,13199,13512,14138,15339,15421,15333,15086,14736,15096,14516
PR,2535,3182,3525,4418,4518,4132,4128,3212,2900,4149
RI,1055,1101,1180,1160,1111,1190,1384,1277,1070,1282
SC,4172,3933,3916,5051,5354,5057,6544,4915,5093,4473
SD,995,1159,943,1072,1036,885,1094,859,826,731
TN,7467,7883,8309,8779,9123,9415,9528,9426,9113,10276
TX,25848,25310,23548,23122,23678,28495,29615,34052,36911,35121
UT,2798,2876,2852,2807,3025,3081,3277,3527,3130,3284
VA,5783,5975,6067,6268,7001,7020,7625,8424,8816,9080
VI,314,486,381,341,337,448,482,484,532,487
VT,1089,1291,1225,1117,1523,1559,1454,1160,1144,1220
WA,21577,22304,21112,20827,19419,18442,17760,20504,20439,22878
WI,4538,4907,5027,5685,6057,6055,6104,6027,5785,6333
WV,1397,1243,1309,1387,1835,2013,2240,2410,2211,2264
WY,548,639,873,857,798,757,953,1813,1038,579
,,,,,,,,,,
