Name,Total Population,state
Alabama,4712651.0,01
Alaska,691189.0,02
Arizona,6246816.0,04
Arkansas,2872684.0,05
California,36637290.0,06
Colorado,4887061.0,08
Connecticut,3545837.0,09
Delaware,881278.0,10
District of Columbia,584400.0,11
Florida,18511620.0,12
Georgia,9468815.0,13
Hawaii,1333591.0,15
Idaho,1526797.0,16
Illinois,12745359.0,17
Indiana,6417398.0,18
Iowa,3016267.0,19
Kansas,2809329.0,20
Kentucky,4285828.0,21
Louisiana,4429940.0,22
Maine,1327665.0,23
Maryland,5696423.0,24
Massachusetts,6477096.0,25
Michigan,9952687.0,26
Minnesota,5241914.0,27
Mississippi,2941991.0,28
Missouri,5922314.0,29
Montana,973739.0,30
Nebraska,1799125.0,31
Nevada,2633331.0,32
New Hampshire,1313939.0,33
New Jersey,8721577.0,34
New Mexico,2013122.0,35
New York,19229752.0,36
North Carolina,9271178.0,37
North Dakota,659858.0,38
Ohio,11512431.0,39
Oklahoma,3675339.0,40
Oregon,3761925.0,41
Pennsylvania,12612705.0,42
Rhode Island,1056389.0,44
South Carolina,4511428.0,45
South Dakota,799462.0,46
Tennessee,6234968.0,47
Texas,24311891.0,48
Utah,2657236.0,49
Vermont,624258.0,50
Virginia,7841754.0,51
Washington,6561297.0,53
West Virginia,1840802.0,54
Wisconsin,5637947.0,55
Wyoming,545579.0,56
Puerto Rico,3762322.0,72
